,,,,genus,genus,family,family,order,order,class,class,phylum,phylum
Alistipes sp. An31A,Alistipes sp. An31A,Alistipes sp. An31A,Alistipes sp. An31A,Alistipes,Alistipes,Rikenellaceae,Rikenellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Corynebacterium argentoratense,Corynebacterium argentoratense,Corynebacterium argentoratense,Corynebacterium argentoratense,Corynebacterium,Corynebacterium,Corynebacteriaceae,Corynebacteriaceae,Corynebacteriales,Corynebacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Lactobacillus acidophilus,Lactobacillus acidophilus,Lactobacillus acidophilus,Lactobacillus acidophilus,Lactobacillus,Lactobacillus,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Clostridium sp. CAG:299,Clostridium sp. CAG:299,Clostridium sp. CAG:299,Clostridium sp. CAG:299,Clostridium,Clostridium,Clostridiaceae,Clostridiaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Haemophilus pittmaniae,Haemophilus pittmaniae,Haemophilus pittmaniae,Haemophilus pittmaniae,Haemophilus,Haemophilus,Pasteurellaceae,Pasteurellaceae,Pasteurellales,Pasteurellales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Megamonas funiformis CAG:377,Megamonas funiformis CAG:377,Megamonas funiformis CAG:377,Megamonas funiformis CAG:377,Megamonas,Megamonas,Selenomonadaceae,Selenomonadaceae,Selenomonadales,Selenomonadales,Negativicutes,Negativicutes,Firmicutes,Firmicutes
Fusobacterium sp. CAG:439,Fusobacterium sp. CAG:439,Fusobacterium sp. CAG:439,Fusobacterium sp. CAG:439,Fusobacterium,Fusobacterium,Fusobacteriaceae,Fusobacteriaceae,Fusobacteriales,Fusobacteriales,Fusobacteriia,Fusobacteriia,Fusobacteria,Fusobacteria
Coprobacter sp.,Coprobacter sp.,Coprobacter sp.,Coprobacter sp.,Coprobacter,Coprobacter,Barnesiellaceae,Barnesiellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Prevotella sp. CAG:891,Prevotella sp. CAG:891,Prevotella sp. CAG:891,Prevotella sp. CAG:891,Prevotella,Prevotella,Prevotellaceae,Prevotellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Limosilactobacillus reuteri,Limosilactobacillus reuteri,Limosilactobacillus reuteri,Limosilactobacillus reuteri,Limosilactobacillus,Limosilactobacillus,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Gardnerella vaginalis,Gardnerella vaginalis,Gardnerella vaginalis,Gardnerella vaginalis,Gardnerella,Gardnerella,Bifidobacteriaceae,Bifidobacteriaceae,Bifidobacteriales,Bifidobacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Prevotella amnii,Prevotella amnii,Prevotella amnii,Prevotella amnii,Prevotella,Prevotella,Prevotellaceae,Prevotellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Mageeibacillus indolicus,Mageeibacillus indolicus,Mageeibacillus indolicus,Mageeibacillus indolicus,Mageeibacillus,Mageeibacillus,Oscillospiraceae,Oscillospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Veillonellaceae bacterium DNF00626,Veillonellaceae bacterium DNF00626,Veillonellaceae bacterium DNF00626,Veillonellaceae bacterium DNF00626,Veillonellaceae_NA,Veillonellaceae_NA,Veillonellaceae,Veillonellaceae,Veillonellales,Veillonellales,Negativicutes,Negativicutes,Firmicutes,Firmicutes
Sneathia vaginalis,Sneathia vaginalis,Sneathia vaginalis,Sneathia vaginalis,Sneathia,Sneathia,Leptotrichiaceae,Leptotrichiaceae,Fusobacteriales,Fusobacteriales,Fusobacteriia,Fusobacteriia,Fusobacteria,Fusobacteria
Mobiluncus curtisii,Mobiluncus curtisii,Mobiluncus curtisii,Mobiluncus curtisii,Mobiluncus,Mobiluncus,Actinomycetaceae,Actinomycetaceae,Actinomycetales,Actinomycetales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Tissierellia bacterium KA00581,Tissierellia bacterium KA00581,Tissierellia bacterium KA00581,Tissierellia bacterium KA00581,Tissierellia_NA_NA_NA,Tissierellia_NA_NA_NA,Tissierellia_NA_NA,Tissierellia_NA_NA,Tissierellia_NA,Tissierellia_NA,Tissierellia,Tissierellia,Firmicutes,Firmicutes
Peptoniphilus lacrimalis,Peptoniphilus lacrimalis,Peptoniphilus lacrimalis,Peptoniphilus lacrimalis,Peptoniphilus,Peptoniphilus,Peptoniphilaceae,Peptoniphilaceae,Tissierellales,Tissierellales,Tissierellia,Tissierellia,Firmicutes,Firmicutes
Veillonella tobetsuensis,Veillonella tobetsuensis,Veillonella tobetsuensis,Veillonella tobetsuensis,Veillonella,Veillonella,Veillonellaceae,Veillonellaceae,Veillonellales,Veillonellales,Negativicutes,Negativicutes,Firmicutes,Firmicutes
Ureaplasma parvum,Ureaplasma parvum,Ureaplasma parvum,Ureaplasma parvum,Ureaplasma,Ureaplasma,Mycoplasmataceae,Mycoplasmataceae,Mycoplasmatales,Mycoplasmatales,Mollicutes,Mollicutes,Tenericutes,Tenericutes
Gemella asaccharolytica,Gemella asaccharolytica,Gemella asaccharolytica,Gemella asaccharolytica,Gemella,Gemella,Bacillales_NA,Bacillales_NA,Bacillales,Bacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Dialister micraerophilus,Dialister micraerophilus,Dialister micraerophilus,Dialister micraerophilus,Dialister,Dialister,Veillonellaceae,Veillonellaceae,Veillonellales,Veillonellales,Negativicutes,Negativicutes,Firmicutes,Firmicutes
Ezakiella coagulans,Ezakiella coagulans,Ezakiella coagulans,Ezakiella coagulans,Ezakiella,Ezakiella,Tissierellia_NA_NA,Tissierellia_NA_NA,Tissierellia_NA,Tissierellia_NA,Tissierellia,Tissierellia,Firmicutes,Firmicutes
Peptoniphilus sp. HMSC062D09,Peptoniphilus sp. HMSC062D09,Peptoniphilus sp. HMSC062D09,Peptoniphilus sp. HMSC062D09,Peptoniphilus,Peptoniphilus,Peptoniphilaceae,Peptoniphilaceae,Tissierellales,Tissierellales,Tissierellia,Tissierellia,Firmicutes,Firmicutes
Murimonas intestini,Murimonas intestini,Murimonas intestini,Murimonas intestini,Murimonas,Murimonas,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Phocaeicola sartorii,Phocaeicola sartorii,Phocaeicola sartorii,Phocaeicola sartorii,Phocaeicola,Phocaeicola,Bacteroidaceae,Bacteroidaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Lactobacillus iners,Lactobacillus iners,Lactobacillus iners,Lactobacillus iners,Lactobacillus,Lactobacillus,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Megasphaera elsdenii,Megasphaera elsdenii,Megasphaera elsdenii,Megasphaera elsdenii,Megasphaera,Megasphaera,Veillonellaceae,Veillonellaceae,Veillonellales,Veillonellales,Negativicutes,Negativicutes,Firmicutes,Firmicutes
Prevotella sp. CAG:520,Prevotella sp. CAG:520,Prevotella sp. CAG:520,Prevotella sp. CAG:520,Prevotella,Prevotella,Prevotellaceae,Prevotellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Prevotella sp. AM42-24,Prevotella sp. AM42-24,Prevotella sp. AM42-24,Prevotella sp. AM42-24,Prevotella,Prevotella,Prevotellaceae,Prevotellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Firmicutes bacterium CAG:791,Firmicutes bacterium CAG:791,Firmicutes bacterium CAG:791,Firmicutes bacterium CAG:791,Firmicutes_NA_NA_NA_NA,Firmicutes_NA_NA_NA_NA,Firmicutes_NA_NA_NA,Firmicutes_NA_NA_NA,Firmicutes_NA_NA,Firmicutes_NA_NA,Firmicutes_NA,Firmicutes_NA,Firmicutes,Firmicutes
Eubacterium sp. CAG:786,Eubacterium sp. CAG:786,Eubacterium sp. CAG:786,Eubacterium sp. CAG:786,Eubacterium,Eubacterium,Eubacteriaceae,Eubacteriaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Campylobacter concisus,Campylobacter concisus,Campylobacter concisus,Campylobacter concisus,Campylobacter,Campylobacter,Campylobacteraceae,Campylobacteraceae,Campylobacterales,Campylobacterales,Epsilonproteobacteria,Epsilonproteobacteria,Proteobacteria,Proteobacteria
Bacteroides faecichinchillae,Bacteroides faecichinchillae,Bacteroides faecichinchillae,Bacteroides faecichinchillae,Bacteroides,Bacteroides,Bacteroidaceae,Bacteroidaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Anaerotruncus sp. CAG:528,Anaerotruncus sp. CAG:528,Anaerotruncus sp. CAG:528,Anaerotruncus sp. CAG:528,Anaerotruncus,Anaerotruncus,Oscillospiraceae,Oscillospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Alistipes sp. An66,Alistipes sp. An66,Alistipes sp. An66,Alistipes sp. An66,Alistipes,Alistipes,Rikenellaceae,Rikenellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Flavonifractor sp. An10,Flavonifractor sp. An10,Flavonifractor sp. An10,Flavonifractor sp. An10,Flavonifractor,Flavonifractor,Oscillospiraceae,Oscillospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Clostridium sp. CAG:964,Clostridium sp. CAG:964,Clostridium sp. CAG:964,Clostridium sp. CAG:964,Clostridium,Clostridium,Clostridiaceae,Clostridiaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Eubacterium callanderi,Eubacterium callanderi,Eubacterium callanderi,Eubacterium callanderi,Eubacterium,Eubacterium,Eubacteriaceae,Eubacteriaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Butyribacterium methylotrophicum,Butyribacterium methylotrophicum,Butyribacterium methylotrophicum,Butyribacterium methylotrophicum,Clostridium,Clostridium,Clostridiaceae,Clostridiaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Streptococcus mutans,Streptococcus mutans,Streptococcus mutans,Streptococcus mutans,Streptococcus,Streptococcus,Streptococcaceae,Streptococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Alloscardovia omnicolens,Alloscardovia omnicolens,Alloscardovia omnicolens,Alloscardovia omnicolens,Alloscardovia,Alloscardovia,Bifidobacteriaceae,Bifidobacteriaceae,Bifidobacteriales,Bifidobacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Campylobacter upsaliensis,Campylobacter upsaliensis,Campylobacter upsaliensis,Campylobacter upsaliensis,Campylobacter,Campylobacter,Campylobacteraceae,Campylobacteraceae,Campylobacterales,Campylobacterales,Epsilonproteobacteria,Epsilonproteobacteria,Proteobacteria,Proteobacteria
Citrobacter braakii,Citrobacter braakii,Citrobacter braakii,Citrobacter braakii,Citrobacter,Citrobacter,Enterobacteriaceae,Enterobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Arcanobacterium haemolyticum,Arcanobacterium haemolyticum,Arcanobacterium haemolyticum,Arcanobacterium haemolyticum,Arcanobacterium,Arcanobacterium,Actinomycetaceae,Actinomycetaceae,Actinomycetales,Actinomycetales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Prevotella colorans,Prevotella colorans,Prevotella colorans,Prevotella colorans,Prevotella,Prevotella,Prevotellaceae,Prevotellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Lactonifactor longoviformis,Lactonifactor longoviformis,Lactonifactor longoviformis,Lactonifactor longoviformis,Lactonifactor,Lactonifactor,Clostridiaceae,Clostridiaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Bacteroides sp. OM08-11,Bacteroides sp. OM08-11,Bacteroides sp. OM08-11,Bacteroides sp. OM08-11,Bacteroides,Bacteroides,Bacteroidaceae,Bacteroidaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Atopobium minutum,Atopobium minutum,Atopobium minutum,Atopobium minutum,Atopobium,Atopobium,Atopobiaceae,Atopobiaceae,Coriobacteriales,Coriobacteriales,Coriobacteriia,Coriobacteriia,Actinobacteria,Actinobacteria
Eisenbergiella massiliensis,Eisenbergiella massiliensis,Eisenbergiella massiliensis,Eisenbergiella massiliensis,Eisenbergiella,Eisenbergiella,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Clostridium sp. CAG:678,Clostridium sp. CAG:678,Clostridium sp. CAG:678,Clostridium sp. CAG:678,Clostridium,Clostridium,Clostridiaceae,Clostridiaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Firmicutes bacterium CAG:424,Firmicutes bacterium CAG:424,Firmicutes bacterium CAG:424,Firmicutes bacterium CAG:424,Firmicutes_NA_NA_NA_NA,Firmicutes_NA_NA_NA_NA,Firmicutes_NA_NA_NA,Firmicutes_NA_NA_NA,Firmicutes_NA_NA,Firmicutes_NA_NA,Firmicutes_NA,Firmicutes_NA,Firmicutes,Firmicutes
Blautia argi,Blautia argi,Blautia argi,Blautia argi,Blautia,Blautia,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Eubacterium dolichum CAG:375,Eubacterium dolichum CAG:375,Eubacterium dolichum CAG:375,Eubacterium dolichum CAG:375,Eubacterium,Eubacterium,Eubacteriaceae,Eubacteriaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Amedibacillus dolichus,Amedibacillus dolichus,Amedibacillus dolichus,Amedibacillus dolichus,Amedibacillus,Amedibacillus,Erysipelotrichaceae,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichales,Erysipelotrichia,Erysipelotrichia,Firmicutes,Firmicutes
Dorea sp. CAG:317,Dorea sp. CAG:317,Dorea sp. CAG:317,Dorea sp. CAG:317,Dorea,Dorea,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Lachnoclostridium sp. An131,Lachnoclostridium sp. An131,Lachnoclostridium sp. An131,Lachnoclostridium sp. An131,Lachnoclostridium,Lachnoclostridium,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Actinomyces sp. HMSC035G02,Actinomyces sp. HMSC035G02,Actinomyces sp. HMSC035G02,Actinomyces sp. HMSC035G02,Actinomyces,Actinomyces,Actinomycetaceae,Actinomycetaceae,Actinomycetales,Actinomycetales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Streptococcus sp. F0442,Streptococcus sp. F0442,Streptococcus sp. F0442,Streptococcus sp. F0442,Streptococcus,Streptococcus,Streptococcaceae,Streptococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Streptococcus sobrinus,Streptococcus sobrinus,Streptococcus sobrinus,Streptococcus sobrinus,Streptococcus,Streptococcus,Streptococcaceae,Streptococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Ligilactobacillus salivarius,Ligilactobacillus salivarius,Ligilactobacillus salivarius,Ligilactobacillus salivarius,Ligilactobacillus,Ligilactobacillus,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Butyrivibrio sp. CAG:318,Butyrivibrio sp. CAG:318,Butyrivibrio sp. CAG:318,Butyrivibrio sp. CAG:318,Butyrivibrio,Butyrivibrio,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Firmicutes bacterium CAG:555,Firmicutes bacterium CAG:555,Firmicutes bacterium CAG:555,Firmicutes bacterium CAG:555,Firmicutes_NA_NA_NA_NA,Firmicutes_NA_NA_NA_NA,Firmicutes_NA_NA_NA,Firmicutes_NA_NA_NA,Firmicutes_NA_NA,Firmicutes_NA_NA,Firmicutes_NA,Firmicutes_NA,Firmicutes,Firmicutes
Comamonas kerstersii,Comamonas kerstersii,Comamonas kerstersii,Comamonas kerstersii,Comamonas,Comamonas,Comamonadaceae,Comamonadaceae,Burkholderiales,Burkholderiales,Betaproteobacteria,Betaproteobacteria,Proteobacteria,Proteobacteria
Clostridium scindens,Clostridium scindens,Clostridium scindens,Clostridium scindens,Lachnoclostridium,Lachnoclostridium,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Clostridiales bacterium 1_7_47FAA,Clostridiales bacterium 1_7_47FAA,Clostridiales bacterium 1_7_47FAA,Clostridiales bacterium 1_7_47FAA,Eubacteriales_NA_NA,Eubacteriales_NA_NA,Eubacteriales_NA,Eubacteriales_NA,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Fusobacterium ulcerans,Fusobacterium ulcerans,Fusobacterium ulcerans,Fusobacterium ulcerans,Fusobacterium,Fusobacterium,Fusobacteriaceae,Fusobacteriaceae,Fusobacteriales,Fusobacteriales,Fusobacteriia,Fusobacteriia,Fusobacteria,Fusobacteria
Dorea sp. D27,Dorea sp. D27,Dorea sp. D27,Dorea sp. D27,Dorea,Dorea,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Bacteroides sp. CAG:633,Bacteroides sp. CAG:633,Bacteroides sp. CAG:633,Bacteroides sp. CAG:633,Bacteroides,Bacteroides,Bacteroidaceae,Bacteroidaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Alistipes sp. CHKCI003,Alistipes sp. CHKCI003,Alistipes sp. CHKCI003,Alistipes sp. CHKCI003,Alistipes,Alistipes,Rikenellaceae,Rikenellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Campylobacter gracilis,Campylobacter gracilis,Campylobacter gracilis,Campylobacter gracilis,Campylobacter,Campylobacter,Campylobacteraceae,Campylobacteraceae,Campylobacterales,Campylobacterales,Epsilonproteobacteria,Epsilonproteobacteria,Proteobacteria,Proteobacteria
Streptococcus equinus,Streptococcus equinus,Streptococcus equinus,Streptococcus equinus,Streptococcus,Streptococcus,Streptococcaceae,Streptococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Actinomyces graevenitzii,Actinomyces graevenitzii,Actinomyces graevenitzii,Actinomyces graevenitzii,Actinomyces,Actinomyces,Actinomycetaceae,Actinomycetaceae,Actinomycetales,Actinomycetales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Fusobacterium nucleatum,Fusobacterium nucleatum,Fusobacterium nucleatum,Fusobacterium nucleatum,Fusobacterium,Fusobacterium,Fusobacteriaceae,Fusobacteriaceae,Fusobacteriales,Fusobacteriales,Fusobacteriia,Fusobacteriia,Fusobacteria,Fusobacteria
Fusobacterium necrophorum,Fusobacterium necrophorum,Fusobacterium necrophorum,Fusobacterium necrophorum,Fusobacterium,Fusobacterium,Fusobacteriaceae,Fusobacteriaceae,Fusobacteriales,Fusobacteriales,Fusobacteriia,Fusobacteriia,Fusobacteria,Fusobacteria
Gleimia europaea,Gleimia europaea,Gleimia europaea,Gleimia europaea,Gleimia,Gleimia,Actinomycetaceae,Actinomycetaceae,Actinomycetales,Actinomycetales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Porphyromonas uenonis,Porphyromonas uenonis,Porphyromonas uenonis,Porphyromonas uenonis,Porphyromonas,Porphyromonas,Porphyromonadaceae,Porphyromonadaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Peptoniphilus sp. BV3C26,Peptoniphilus sp. BV3C26,Peptoniphilus sp. BV3C26,Peptoniphilus sp. BV3C26,Peptoniphilus,Peptoniphilus,Peptoniphilaceae,Peptoniphilaceae,Tissierellales,Tissierellales,Tissierellia,Tissierellia,Firmicutes,Firmicutes
Prevotella sp. CAG:755,Prevotella sp. CAG:755,Prevotella sp. CAG:755,Prevotella sp. CAG:755,Prevotella,Prevotella,Prevotellaceae,Prevotellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Prevotella sp. S7-1-8,Prevotella sp. S7-1-8,Prevotella sp. S7-1-8,Prevotella sp. S7-1-8,Prevotella,Prevotella,Prevotellaceae,Prevotellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Fusobacterium naviforme,Fusobacterium naviforme,Fusobacterium naviforme,Fusobacterium naviforme,Fusobacterium,Fusobacterium,Fusobacteriaceae,Fusobacteriaceae,Fusobacteriales,Fusobacteriales,Fusobacteriia,Fusobacteriia,Fusobacteria,Fusobacteria
Campylobacter ureolyticus,Campylobacter ureolyticus,Campylobacter ureolyticus,Campylobacter ureolyticus,Campylobacter,Campylobacter,Campylobacteraceae,Campylobacteraceae,Campylobacterales,Campylobacterales,Epsilonproteobacteria,Epsilonproteobacteria,Proteobacteria,Proteobacteria
Jonquetella anthropi,Jonquetella anthropi,Jonquetella anthropi,Jonquetella anthropi,Jonquetella,Jonquetella,Synergistaceae,Synergistaceae,Synergistales,Synergistales,Synergistia,Synergistia,Synergistetes,Synergistetes
Lawsonella clevelandensis,Lawsonella clevelandensis,Lawsonella clevelandensis,Lawsonella clevelandensis,Lawsonella,Lawsonella,Lawsonellaceae,Lawsonellaceae,Corynebacteriales,Corynebacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Eggerthia catenaformis,Eggerthia catenaformis,Eggerthia catenaformis,Eggerthia catenaformis,Eggerthia,Eggerthia,Coprobacillaceae,Coprobacillaceae,Erysipelotrichales,Erysipelotrichales,Erysipelotrichia,Erysipelotrichia,Firmicutes,Firmicutes
Atopobium deltae,Atopobium deltae,Atopobium deltae,Atopobium deltae,Atopobium,Atopobium,Atopobiaceae,Atopobiaceae,Coriobacteriales,Coriobacteriales,Coriobacteriia,Coriobacteriia,Actinobacteria,Actinobacteria
Porphyromonas sp. HMSC065F10,Porphyromonas sp. HMSC065F10,Porphyromonas sp. HMSC065F10,Porphyromonas sp. HMSC065F10,Porphyromonas,Porphyromonas,Porphyromonadaceae,Porphyromonadaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Peptococcus niger,Peptococcus niger,Peptococcus niger,Peptococcus niger,Peptococcus,Peptococcus,Peptococcaceae,Peptococcaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Peptoniphilus duerdenii,Peptoniphilus duerdenii,Peptoniphilus duerdenii,Peptoniphilus duerdenii,Peptoniphilus,Peptoniphilus,Peptoniphilaceae,Peptoniphilaceae,Tissierellales,Tissierellales,Tissierellia,Tissierellia,Firmicutes,Firmicutes
Prevotella sp. CAG:1031,Prevotella sp. CAG:1031,Prevotella sp. CAG:1031,Prevotella sp. CAG:1031,Prevotella,Prevotella,Prevotellaceae,Prevotellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Clostridium hylemonae,Clostridium hylemonae,Clostridium hylemonae,Clostridium hylemonae,Lachnoclostridium,Lachnoclostridium,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Blautia coccoides,Blautia coccoides,Blautia coccoides,Blautia coccoides,Blautia,Blautia,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Haemophilus sputorum,Haemophilus sputorum,Haemophilus sputorum,Haemophilus sputorum,Haemophilus,Haemophilus,Pasteurellaceae,Pasteurellaceae,Pasteurellales,Pasteurellales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Veillonella rodentium,Veillonella rodentium,Veillonella rodentium,Veillonella rodentium,Veillonella,Veillonella,Veillonellaceae,Veillonellaceae,Veillonellales,Veillonellales,Negativicutes,Negativicutes,Firmicutes,Firmicutes
Terrisporobacter othiniensis,Terrisporobacter othiniensis,Terrisporobacter othiniensis,Terrisporobacter othiniensis,Terrisporobacter,Terrisporobacter,Peptostreptococcaceae,Peptostreptococcaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Bacteroides sp. D2,Bacteroides sp. D2,Bacteroides sp. D2,Bacteroides sp. D2,Bacteroides,Bacteroides,Bacteroidaceae,Bacteroidaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Anaerostipes caccae,Anaerostipes caccae,Anaerostipes caccae,Anaerostipes caccae,Anaerostipes,Anaerostipes,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Bifidobacterium pullorum,Bifidobacterium pullorum,Bifidobacterium pullorum,Bifidobacterium pullorum,Bifidobacterium,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriaceae,Bifidobacteriales,Bifidobacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Sarcina ventriculi,Sarcina ventriculi,Sarcina ventriculi,Sarcina ventriculi,Sarcina,Sarcina,Clostridiaceae,Clostridiaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Butyricicoccus pullicaecorum,Butyricicoccus pullicaecorum,Butyricicoccus pullicaecorum,Butyricicoccus pullicaecorum,Butyricicoccus,Butyricicoccus,Clostridiaceae,Clostridiaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Lachnoclostridium sp. An169,Lachnoclostridium sp. An169,Lachnoclostridium sp. An169,Lachnoclostridium sp. An169,Lachnoclostridium,Lachnoclostridium,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Enterococcus durans,Enterococcus durans,Enterococcus durans,Enterococcus durans,Enterococcus,Enterococcus,Enterococcaceae,Enterococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Pediococcus pentosaceus,Pediococcus pentosaceus,Pediococcus pentosaceus,Pediococcus pentosaceus,Pediococcus,Pediococcus,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Clostridium sp. CAG:510,Clostridium sp. CAG:510,Clostridium sp. CAG:510,Clostridium sp. CAG:510,Clostridium,Clostridium,Clostridiaceae,Clostridiaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
