"","Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection","subject_id","mystery_id"
"77","SRX3139413","fecal sample from HMP2: Subject H4024C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472249",NA,1178.32,1,15650060,3103187245,"G95815_MGX","WGS","METAGENOMIC","RANDOM","H4024",NA
"78","SRX3139412","fecal sample from HMP2: Subject H4042C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472248",NA,627.88,1,7668689,1499620284,"G95725_MGX","WGS","METAGENOMIC","RANDOM","H4042",NA
"79","SRX3139411","fecal sample from HMP2: Subject M2085C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472247",NA,51.9,1,632527,123940335,"G95723_MGX","WGS","METAGENOMIC","RANDOM","M2085",NA
"80","SRX3139410","fecal sample from HMP2: Subject C3017C22_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472246",NA,875.85,1,11579311,2292938032,"G95790_MGX","WGS","METAGENOMIC","RANDOM","C3017",NA
"81","SRX3139409","fecal sample from HMP2: Subject C3036C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472245",NA,677.89,1,8945613,1763491057,"G95789_MGX","WGS","METAGENOMIC","RANDOM","C3036",NA
"82","SRX3139408","fecal sample from HMP2: Subject C3011C20_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472244",NA,1326.8,1,18138691,3598929921,"G95781_MGX","WGS","METAGENOMIC","RANDOM","C3011",NA
"83","SRX3139407","fecal sample from HMP2: Subject P6028C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472243",NA,1054.37,1,13977258,2764090404,"G95780_MGX","WGS","METAGENOMIC","RANDOM","P6028",NA
"84","SRX3139406","fecal sample from HMP2: Subject M2071C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472380",NA,1065.42,1,14129340,2797209363,"G95784_MGX","WGS","METAGENOMIC","RANDOM","M2071",NA
"85","SRX3139405","fecal sample from HMP2: Subject C3017C16_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472242",NA,1040.85,1,13624613,2686222342,"G95782_MGX","WGS","METAGENOMIC","RANDOM","C3017",NA
"86","SRX3139404","fecal sample from HMP2: Subject M2067C6_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472241",NA,1097.05,1,14682598,2905926838,"G95786_MGX","WGS","METAGENOMIC","RANDOM","M2067",NA
"87","SRX3139403","fecal sample from HMP2: Subject C3032C7_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472240",NA,993.81,1,13097962,2593330224,"G95785_MGX","WGS","METAGENOMIC","RANDOM","C3032",NA
"88","SRX3139402","fecal sample from HMP2: Subject M2079C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472239",NA,1269.08,1,16808540,3329641928,"G95788_MGX","WGS","METAGENOMIC","RANDOM","M2079",NA
"89","SRX3139401","fecal sample from HMP2: Subject C3013C22_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472238",NA,1111.53,1,14695453,2882044302,"G95787_MGX","WGS","METAGENOMIC","RANDOM","C3013",NA
"90","SRX3139400","fecal sample from HMP2: Subject E5004C6_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472237",NA,2705.35,1,19800043,3854293595,"G79989_MGX","WGS","METAGENOMIC","RANDOM","E5004",NA
"91","SRX3139399","fecal sample from HMP2: Subject H4011C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472236",NA,1280.74,1,9372754,1821211266,"G79986_MGX","WGS","METAGENOMIC","RANDOM","H4011",NA
"92","SRX3139398","fecal sample from HMP2: Subject P6009C3_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472235",NA,1457.31,1,19440539,3851678145,"G95824_MGX","WGS","METAGENOMIC","RANDOM","P6009",NA
"93","SRX3139397","fecal sample from HMP2: Subject C3001C7_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472234",NA,2341.79,1,17086306,3330135607,"G79969_MGX","WGS","METAGENOMIC","RANDOM","C3001",NA
"94","SRX3139396","fecal sample from HMP2: Subject M2008C13_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472233",NA,1909.14,1,13869785,2683926418,"G79967_MGX","WGS","METAGENOMIC","RANDOM","M2008",NA
"95","SRX3139395","fecal sample from HMP2: Subject C3007C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472232",NA,1767.18,1,12987643,2533678386,"G79966_MGX","WGS","METAGENOMIC","RANDOM","C3007",NA
"96","SRX3139394","fecal sample from HMP2: Subject M2021C6_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472231",NA,2773.4,1,21454936,4252193177,"G79964_MGX","WGS","METAGENOMIC","RANDOM","M2021",NA
"97","SRX3139393","fecal sample from HMP2: Subject M2028C4_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472230",NA,2222.61,1,17057527,3364061687,"G79974_MGX","WGS","METAGENOMIC","RANDOM","M2028",NA
"98","SRX3139392","fecal sample from HMP2: Subject M2010C8_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472229",NA,2007.15,1,14658825,2842812240,"G79973_MGX","WGS","METAGENOMIC","RANDOM","M2010",NA
"99","SRX3139391","fecal sample from HMP2: Subject E5004C4_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472228",NA,2126.65,1,15531866,3014861456,"G79972_MGX","WGS","METAGENOMIC","RANDOM","E5004",NA
"100","SRX3139390","fecal sample from HMP2: Subject C3002C4_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472227",NA,4111.6,1,29934609,5821501360,"G79970_MGX","WGS","METAGENOMIC","RANDOM","C3002",NA
"101","SRX3139389","fecal sample from HMP2: Subject E5023C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472226",NA,577.26,1,7066572,1379349455,"G95701_MGX","WGS","METAGENOMIC","RANDOM","E5023",NA
"102","SRX3139388","fecal sample from HMP2: Subject M2072C4_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472225",NA,1204.33,1,14661253,2869246361,"G95703_MGX","WGS","METAGENOMIC","RANDOM","M2072",NA
"103","SRX3139387","fecal sample from HMP2: Subject C3011C18_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472224",NA,274.61,1,3296965,645330995,"G95699_MGX","WGS","METAGENOMIC","RANDOM","C3011",NA
"104","SRX3139386","fecal sample from HMP2: Subject H4032C3_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472223",NA,1122.53,1,13515142,2639296445,"G95700_MGX","WGS","METAGENOMIC","RANDOM","H4032",NA
"105","SRX3139385","fecal sample from HMP2: Subject P6025C5_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472222",NA,1510.55,1,18430753,3610959769,"G95706_MGX","WGS","METAGENOMIC","RANDOM","P6025",NA
"106","SRX3139384","fecal sample from HMP2: Subject P6009C14_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472220",NA,1239.95,1,15159392,2958998300,"G95707_MGX","WGS","METAGENOMIC","RANDOM","P6009",NA
"107","SRX3139383","fecal sample from HMP2: Subject C3013C20_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472221",NA,779.63,1,9507227,1861152056,"G95704_MGX","WGS","METAGENOMIC","RANDOM","C3013",NA
"108","SRX3139382","fecal sample from HMP2: Subject P6024C5_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472219",NA,690.02,1,8442379,1644549555,"G95705_MGX","WGS","METAGENOMIC","RANDOM","P6024",NA
"109","SRX3139381","fecal sample from HMP2: Subject C3013C8_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472218",NA,774.84,1,10417804,2061908857,"G95817_MGX","WGS","METAGENOMIC","RANDOM","C3013",NA
"110","SRX3139380","fecal sample from HMP2: Subject C3011C22_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472217",NA,866.18,1,10580328,2069796418,"G95708_MGX","WGS","METAGENOMIC","RANDOM","C3011",NA
"111","SRX3139379","fecal sample from HMP2: Subject C3017C18_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472378",NA,1090.6,1,13274619,2583320869,"G95709_MGX","WGS","METAGENOMIC","RANDOM","C3017",NA
"112","SRX3139378","fecal sample from HMP2: Subject H4031C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472379",NA,1027.66,1,13826109,2743661739,"G95774_MGX","WGS","METAGENOMIC","RANDOM","H4031",NA
"113","SRX3139377","fecal sample from HMP2: Subject E5022C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472216",NA,1810.4,1,24092993,4764271159,"G95775_MGX","WGS","METAGENOMIC","RANDOM","E5022",NA
"114","SRX3139376","fecal sample from HMP2: Subject M2069C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472377",NA,1853.54,1,24257165,4786928795,"G95776_MGX","WGS","METAGENOMIC","RANDOM","M2069",NA
"115","SRX3139375","fecal sample from HMP2: Subject P6009C12_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472376",NA,1329.6,1,18156839,3607657207,"G95777_MGX","WGS","METAGENOMIC","RANDOM","P6009",NA
"116","SRX3139374","fecal sample from HMP2: Subject P6017C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472215",NA,1121.66,1,15135021,3005134088,"G95770_MGX","WGS","METAGENOMIC","RANDOM","P6017",NA
"117","SRX3139373","fecal sample from HMP2: Subject P6009C8_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472375",NA,1134.66,1,15303449,3038782926,"G95771_MGX","WGS","METAGENOMIC","RANDOM","P6009",NA
"118","SRX3139372","fecal sample from HMP2: Subject H4030C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472214",NA,506.01,1,6723864,1325419520,"G95772_MGX","WGS","METAGENOMIC","RANDOM","H4030",NA
"119","SRX3139371","fecal sample from HMP2: Subject C3017C12_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472213",NA,1046.89,1,14065122,2788354702,"G95773_MGX","WGS","METAGENOMIC","RANDOM","C3017",NA
"120","SRX3139370","fecal sample from HMP2: Subject C3017C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472372",NA,854.81,1,10325265,2018743371,"G95653_MGX","WGS","METAGENOMIC","RANDOM","C3017",NA
"121","SRX3139369","fecal sample from HMP2: Subject C3017C14_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472374",NA,1382.59,1,18384230,3639866251,"G95778_MGX","WGS","METAGENOMIC","RANDOM","C3017",NA
"122","SRX3139368","fecal sample from HMP2: Subject H4028C5_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472373",NA,1269.58,1,17312364,3433632194,"G95779_MGX","WGS","METAGENOMIC","RANDOM","H4028",NA
"123","SRX3139367","fecal sample from HMP2: Subject H4009C13_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472370",NA,426.05,1,5613162,1111579812,"G95816_MGX","WGS","METAGENOMIC","RANDOM","H4009",NA
"124","SRX3139366","fecal sample from HMP2: Subject C3004C4_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472371",NA,2794.18,1,20506673,4002668786,"G80019_MGX","WGS","METAGENOMIC","RANDOM","C3004",NA
"125","SRX3139365","fecal sample from HMP2: Subject C3005C3_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472369",NA,2157.43,1,15634923,3030864663,"G80025_MGX","WGS","METAGENOMIC","RANDOM","C3005",NA
"126","SRX3139364","fecal sample from HMP2: Subject H4001C8_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472368",NA,1013.81,1,7883360,1551914647,"G80027_MGX","WGS","METAGENOMIC","RANDOM","H4001",NA
"127","SRX3139363","fecal sample from HMP2: Subject H4004C3_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472212",NA,2199.63,1,15828431,3065584021,"G80028_MGX","WGS","METAGENOMIC","RANDOM","H4004",NA
"128","SRX3139362","fecal sample from HMP2: Subject M2010C11_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472211",NA,288.61,1,2272489,449656406,"G79999_MGX","WGS","METAGENOMIC","RANDOM","M2010",NA
"129","SRX3139361","fecal sample from HMP2: Subject E5008C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472367",NA,840.37,1,5966961,1141961358,"G80002_MGX","WGS","METAGENOMIC","RANDOM","E5008",NA
"130","SRX3139360","fecal sample from HMP2: Subject C3001C8_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472871",NA,2141.78,1,16758088,3326360374,"G80015_MGX","WGS","METAGENOMIC","RANDOM","C3001",NA
"131","SRX3139359","fecal sample from HMP2: Subject C3002C5_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472366",NA,2443.49,1,18817906,3727945576,"G80016_MGX","WGS","METAGENOMIC","RANDOM","C3002",NA
"132","SRX3139358","fecal sample from HMP2: Subject H4016C4_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472364",NA,1021.18,1,12513542,2450931713,"G95652_MGX","WGS","METAGENOMIC","RANDOM","H4016",NA
"133","SRX3139357","fecal sample from HMP2: Subject H4007C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472210",NA,2337.81,1,17086111,3325044907,"G80031_MGX","WGS","METAGENOMIC","RANDOM","H4007",NA
"134","SRX3139356","fecal sample from HMP2: Subject M2014C10_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472209",NA,2329.25,1,17753540,3497310320,"G80032_MGX","WGS","METAGENOMIC","RANDOM","M2014",NA
"135","SRX3139355","fecal sample from HMP2: Subject H4008C22_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472870",NA,663.93,1,7950581,1555091196,"G95689_MGX","WGS","METAGENOMIC","RANDOM","H4008",NA
"136","SRX3139354","fecal sample from HMP2: Subject P6018C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472208",NA,797.93,1,9834627,1922233057,"G95688_MGX","WGS","METAGENOMIC","RANDOM","P6018",NA
"137","SRX3139353","fecal sample from HMP2: Subject H4009C22_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472207",NA,377.6,1,4553313,891461482,"G95691_MGX","WGS","METAGENOMIC","RANDOM","H4009",NA
"138","SRX3139352","fecal sample from HMP2: Subject C3013C17_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472206",NA,848.1,1,10386644,2027556057,"G95690_MGX","WGS","METAGENOMIC","RANDOM","C3013",NA
"139","SRX3139351","fecal sample from HMP2: Subject H4009C20_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472365",NA,1212.59,1,14700505,2871827842,"G95693_MGX","WGS","METAGENOMIC","RANDOM","H4009",NA
"140","SRX3139350","fecal sample from HMP2: Subject C3013C14_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472869",NA,483.79,1,5899163,1149027320,"G95692_MGX","WGS","METAGENOMIC","RANDOM","C3013",NA
"141","SRX3139349","fecal sample from HMP2: Subject P6014C7_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472363",NA,790.06,1,9640890,1890229633,"G95696_MGX","WGS","METAGENOMIC","RANDOM","P6014",NA
"142","SRX3139348","fecal sample from HMP2: Subject H4035C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472205",NA,831.93,1,10196184,1998298844,"G95695_MGX","WGS","METAGENOMIC","RANDOM","H4035",NA
"143","SRX3139347","fecal sample from HMP2: Subject H4008C21_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472868",NA,358.56,1,4335648,850522230,"G95698_MGX","WGS","METAGENOMIC","RANDOM","H4008",NA
"144","SRX3139346","fecal sample from HMP2: Subject M2068C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472204",NA,973.53,1,11806412,2310520623,"G95697_MGX","WGS","METAGENOMIC","RANDOM","M2068",NA
"145","SRX3139345","fecal sample from HMP2: Subject C3017C4_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472203",NA,1645.69,1,21985117,4353527362,"G95814_MGX","WGS","METAGENOMIC","RANDOM","C3017",NA
"146","SRX3139344","fecal sample from HMP2: Subject H4008C10_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472202",NA,1335.61,1,16375731,3203961107,"G95658_MGX","WGS","METAGENOMIC","RANDOM","H4008",NA
"147","SRX3139343","fecal sample from HMP2: Subject C3023C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472201",NA,1559.18,1,21015399,4169358102,"G95762_MGX","WGS","METAGENOMIC","RANDOM","C3023",NA
"148","SRX3139342","fecal sample from HMP2: Subject C3013C7_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472362",NA,680.65,1,9171170,1814251175,"G95761_MGX","WGS","METAGENOMIC","RANDOM","C3013",NA
"149","SRX3139341","fecal sample from HMP2: Subject P6009C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472200",NA,1440.39,1,19196087,3793796648,"G95760_MGX","WGS","METAGENOMIC","RANDOM","P6009",NA
"150","SRX3139340","fecal sample from HMP2: Subject H4009C16_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472199",NA,1273,1,16814451,3321160230,"G95759_MGX","WGS","METAGENOMIC","RANDOM","H4009",NA
"151","SRX3139339","fecal sample from HMP2: Subject C3013C11_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472866",NA,535.23,1,7168068,1415063821,"G95766_MGX","WGS","METAGENOMIC","RANDOM","C3013",NA
"152","SRX3139338","fecal sample from HMP2: Subject C3031C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472198",NA,331.94,1,4357687,862708072,"G95765_MGX","WGS","METAGENOMIC","RANDOM","C3031",NA
"153","SRX3139337","fecal sample from HMP2: Subject H4009C18_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472197",NA,117.21,1,1535181,303645237,"G95764_MGX","WGS","METAGENOMIC","RANDOM","H4009",NA
